date,symbol,open,high,low,close
2023-11-09,BTC,57.58,57.65,57.55,57.59
2023-11-08,BTC,55.48,58.03,54.31,57.58
2023-11-07,BTC,55.68,57.02,52.02,55.48
2023-11-06,BTC,60.1,60.97,57.32,57.36
2023-11-05,BTC,62.46,62.77,59.36,60.1
2023-11-04,BTC,57.89,62.57,57.88,62.46
2023-11-03,BTC,60.0,60.62,57.33,57.89
2023-11-02,BTC,59.78,61.94,58.84,60.0
2023-11-01,BTC,54.76,60.03,54.57,59.78
2023-10-31,BTC,53.89,54.76,53.32,54.76
2023-10-30,BTC,54.21,57.29,53.07,53.89
2023-10-29,BTC,50.23,55.16,49.94,54.21
2023-10-28,BTC,47.19,50.41,47.16,50.23
2023-10-27,BTC,55.02,55.02,47.19,47.19
2023-10-26,BTC,58.36,60.82,54.75,55.02
2023-10-25,BTC,54.19,60.04,53.32,58.36
2023-10-24,BTC,55.37,63.84,53.06,54.19
2023-10-23,BTC,48.81,64.06,47.91,55.37
2023-10-22,BTC,45.9,48.92,45.14,48.81
2023-10-21,BTC,44.26,46.45,42.74,45.9
2023-10-20,BTC,39.18,46.59,39.08,44.26
2023-10-19,BTC,39.24,40.58,39.04,39.18
2023-10-18,BTC,41.08,41.09,39.21,39.24
2023-10-17,BTC,42.63,42.68,40.81,41.08
2023-10-16,BTC,38.17,45.18,36.27,42.63
2023-10-15,BTC,36.53,38.19,36.44,38.16
2023-10-14,BTC,35.37,36.57,34.82,36.53
2023-10-13,BTC,35.19,36.86,34.97,35.37
2023-10-12,BTC,36.88,37.82,35.16,35.19
2023-10-11,BTC,38.53,38.64,36.09,36.88
2023-10-10,BTC,36.81,39.06,36.67,38.53
2023-10-09,BTC,37.85,39.05,36.76,36.81
2023-10-08,BTC,37.61,38.01,36.29,37.85
2023-10-07,BTC,35.06,37.87,34.79,37.61
2023-10-06,BTC,36.75,36.8,34.47,35.06
2023-10-05,BTC,37.28,38.35,36.65,36.75
2023-10-04,BTC,37.96,38.19,37.04,37.28
2023-10-03,BTC,37.53,38.35,36.94,37.96
2023-10-02,BTC,37.49,40.8,36.2,38.17
2023-10-01,BTC,35.89,37.59,35.48,37.5
2023-09-30,BTC,33.04,35.93,32.33,35.89
2023-09-29,BTC,38.63,38.85,33.04,33.04
2023-09-28,BTC,36.06,40.38,35.39,38.63
2023-09-27,BTC,38.67,39.64,35.54,36.06
2023-09-26,BTC,39.25,40.45,38.51,38.67
2023-09-25,BTC,38.6,40.34,38.0,39.25
2023-09-24,BTC,37.64,39.92,36.61,38.6
2023-09-23,BTC,37.29,37.83,36.25,37.64
2023-09-22,BTC,41.37,41.42,36.8,37.29
2023-09-21,BTC,43.01,43.28,40.79,41.37
2023-09-20,BTC,42.53,43.83,41.96,43.01
2023-09-19,BTC,41.48,42.76,41.35,42.53
2023-09-18,BTC,39.83,43.03,39.54,41.48
2023-09-17,BTC,39.52,40.25,38.34,39.83
2023-09-16,BTC,39.14,39.61,38.72,39.52
2023-09-15,BTC,41.71,41.85,38.81,39.14
2023-09-14,BTC,44.05,44.23,41.14,41.71
2023-09-13,BTC,43.57,44.26,42.66,44.05
2023-09-12,BTC,44.33,44.83,41.62,43.57
2023-09-11,BTC,40.52,45.54,40.46,44.33
2023-09-10,BTC,39.75,41.65,39.42,40.52
2023-09-09,BTC,40.0,40.34,38.82,39.75
2023-09-08,BTC,39.74,41.31,39.45,40.0
2023-09-07,BTC,39.41,41.0,38.8,39.74
2023-09-06,BTC,39.79,40.83,37.77,39.41
2023-09-05,BTC,39.51,40.19,39.09,39.79
2023-09-04,BTC,37.84,38.85,37.14,38.3
2023-09-03,BTC,35.57,38.37,35.57,37.84
2023-09-02,BTC,36.09,36.4,35.39,35.57
2023-09-01,BTC,35.98,38.09,35.24,36.09
2023-08-31,BTC,38.18,39.52,35.98,35.98
2023-08-30,BTC,40.6,40.6,38.08,38.18
2023-08-29,BTC,36.42,44.99,36.08,40.6
2023-08-28,BTC,36.05,37.6,35.82,36.42
2023-08-27,BTC,35.52,36.3,35.24,36.05
2023-08-26,BTC,36.31,36.35,35.36,35.52
2023-08-25,BTC,41.72,42.18,36.25,36.31
2023-08-24,BTC,43.38,43.38,41.37,41.72
2023-08-23,BTC,42.13,44.02,40.05,43.38
2023-08-22,BTC,42.63,44.11,41.89,42.13
2023-08-21,BTC,43.18,43.92,42.3,42.63
2023-08-20,BTC,43.01,43.38,40.24,43.18
2023-08-19,BTC,43.58,43.97,36.62,43.01
2023-08-18,BTC,52.3,52.3,41.49,43.58
2023-08-17,BTC,36.56,53.59,36.3,52.3
2023-08-16,BTC,34.58,37.43,34.23,36.56
2023-08-15,BTC,35.01,36.53,34.43,34.58
2023-08-14,BTC,33.76,35.03,32.21,35.01
2023-08-13,BTC,32.38,33.76,32.18,33.76
2023-08-12,BTC,32.74,32.74,31.41,32.38
2023-08-11,BTC,36.2,36.22,32.74,32.74
2023-08-10,BTC,38.73,38.73,36.04,36.2
2023-08-09,BTC,39.85,40.64,38.51,38.73
2023-08-08,BTC,36.29,41.23,34.76,39.85
2023-08-07,BTC,34.03,36.75,33.93,36.29
2023-08-06,BTC,33.79,34.3,33.32,34.03
2023-08-05,BTC,34.37,34.6,33.42,33.79
2023-08-04,BTC,36.21,36.26,34.21,34.37
2023-08-03,BTC,36.82,37.08,35.74,36.21
2023-08-02,BTC,36.56,37.46,36.4,36.82
2023-08-01,BTC,36.17,37.07,35.59,36.56
2023-07-31,BTC,36.33,37.19,35.75,36.77
2023-07-30,BTC,34.96,36.4,34.96,36.33
2023-07-29,BTC,35.47,35.48,34.11,34.96
2023-07-28,BTC,36.36,36.55,35.05,35.47
2023-07-27,BTC,38.15,38.15,36.34,36.36
2023-07-26,BTC,37.77,39.35,37.58,38.15
2023-07-25,BTC,38.25,38.38,36.47,37.77
2023-07-24,BTC,39.27,39.65,37.58,38.25
2023-07-23,BTC,39.07,39.49,37.54,39.27
2023-07-22,BTC,38.76,39.31,37.36,39.07
2023-07-21,BTC,41.62,41.79,38.63,38.76
2023-07-20,BTC,40.53,42.05,40.08,41.62
2023-07-19,BTC,42.67,42.68,40.52,40.53
2023-07-18,BTC,42.9,43.57,42.06,42.67
2023-07-17,BTC,42.1,43.47,41.79,42.9
2023-07-16,BTC,42.98,43.03,42.01,42.1
2023-07-15,BTC,42.21,43.32,41.63,42.98
2023-07-14,BTC,45.15,45.45,42.08,42.21
2023-07-13,BTC,41.26,46.55,40.63,45.15
2023-07-12,BTC,43.96,46.49,41.23,41.26
2023-07-11,BTC,44.26,44.53,43.07,43.96
2023-07-10,BTC,43.89,44.83,43.55,44.26
2023-07-09,BTC,44.01,44.67,43.45,43.89
2023-07-08,BTC,45.04,45.27,43.55,44.01
2023-07-07,BTC,47.96,48.37,44.81,45.04
2023-07-06,BTC,46.45,49.92,45.36,47.96
2023-07-05,BTC,46.61,46.65,45.22,46.45
2023-07-04,BTC,48.16,48.18,46.47,46.61
2023-07-03,BTC,47.88,49.62,46.67,49.05
2023-07-02,BTC,46.56,47.89,46.54,47.88
2023-07-01,BTC,46.06,46.56,44.63,46.56
2023-06-30,BTC,43.52,47.17,42.92,46.06
2023-06-29,BTC,48.44,48.59,43.41,43.52
2023-06-28,BTC,48.92,48.92,46.94,48.44
2023-06-27,BTC,49.51,50.67,48.87,48.92
2023-06-26,BTC,49.51,52.12,48.66,49.51
2023-06-25,BTC,49.15,50.83,48.72,49.51
2023-06-24,BTC,52.71,52.75,44.6,49.15
2023-06-23,BTC,51.05,53.97,49.39,52.71
2023-06-22,BTC,55.83,56.2,50.91,51.05
2023-06-21,BTC,52.71,59.24,51.99,55.83
2023-06-20,BTC,45.22,53.13,45.14,52.71
2023-06-19,BTC,45.41,45.43,43.84,45.22
2023-06-18,BTC,42.95,45.71,42.53,45.41
2023-06-17,BTC,45.06,45.06,42.59,42.95
2023-06-16,BTC,46.63,46.78,43.14,45.06
2023-06-15,BTC,44.66,48.4,43.76,46.63
2023-06-14,BTC,45.38,47.54,42.05,44.66
2023-06-13,BTC,46.45,46.45,45.33,45.38
2023-06-12,BTC,42.81,46.46,39.85,46.45
2023-06-11,BTC,43.37,43.59,42.25,42.81
2023-06-10,BTC,40.8,43.66,40.57,43.37
2023-06-09,BTC,41.35,41.78,40.44,40.8
2023-06-08,BTC,45.63,46.13,41.35,41.35
2023-06-07,BTC,43.64,45.7,41.64,45.63
2023-06-06,BTC,40.11,43.65,39.76,43.65
2023-06-05,BTC,41.69,42.61,39.18,40.11
2023-06-04,BTC,39.75,41.73,38.95,41.69
2023-06-03,BTC,41.4,41.45,39.71,39.75
2023-06-02,BTC,42.13,43.61,39.89,41.4
2023-06-01,BTC,43.86,44.06,41.54,42.13
2023-05-31,BTC,44.68,45.94,43.69,43.93
2023-05-30,BTC,47.12,47.38,44.22,44.68
2023-05-29,BTC,49.94,50.57,46.34,47.12
2023-05-28,BTC,43.09,49.94,43.07,49.94
2023-05-27,BTC,45.24,45.3,42.98,43.09
2023-05-26,BTC,47.77,47.79,43.56,45.24
2023-05-25,BTC,51.3,51.56,47.31,47.77
2023-05-24,BTC,50.08,52.23,48.91,51.3
2023-05-23,BTC,47.58,50.25,46.2,50.08
2023-05-22,BTC,47.02,48.0,45.54,47.58
2023-05-21,BTC,46.34,47.63,45.51,47.02
2023-05-20,BTC,46.52,47.11,45.52,46.34
2023-05-19,BTC,46.28,46.95,45.07,46.52
2023-05-18,BTC,49.72,49.91,46.1,46.28
2023-05-17,BTC,50.57,50.57,49.16,49.72
2023-05-16,BTC,52.28,52.51,50.33,50.57
2023-05-15,BTC,48.02,53.18,47.94,52.28
2023-05-14,BTC,48.35,48.5,47.53,48.02
2023-05-13,BTC,50.09,50.09,48.23,48.35
2023-05-12,BTC,51.21,52.86,50.09,50.09
2023-05-11,BTC,50.86,51.98,48.61,51.21
2023-05-10,BTC,51.98,52.31,50.55,50.86
2023-05-09,BTC,51.34,52.02,51.07,51.98
2023-05-08,BTC,51.68,51.87,50.79,51.34
2023-05-07,BTC,50.53,51.72,49.72,51.68
2023-05-06,BTC,51.67,51.99,50.26,50.53
2023-05-05,BTC,51.9,52.6,51.41,51.67
2023-05-04,BTC,52.92,54.03,51.6,51.9
2023-05-03,BTC,53.21,54.41,50.94,52.92
2023-05-02,BTC,53.19,53.55,51.95,53.21
2023-05-01,BTC,53.3,55.07,53.02,53.19
2023-04-30,BTC,50.68,53.3,49.22,53.3
2023-04-29,BTC,50.73,51.01,50.1,50.68
2023-04-28,BTC,55.07,55.1,50.61,50.73
2023-04-27,BTC,55.46,56.97,53.47,55.07
2023-04-26,BTC,52.39,58.62,51.68,55.47
2023-04-25,BTC,52.72,53.53,52.08,52.38
2023-04-24,BTC,54.22,54.3,52.42,52.72
2023-04-23,BTC,54.53,55.83,53.84,54.22
2023-04-22,BTC,54.82,54.84,53.07,54.53
2023-04-21,BTC,56.11,56.22,53.15,54.82
2023-04-20,BTC,55.14,56.16,54.02,56.11
2023-04-19,BTC,55.63,56.1,54.35,55.71
2023-04-18,BTC,55.6,56.44,55.01,55.63
2023-04-17,BTC,56.4,57.31,53.72,55.6
2023-04-16,BTC,53.81,56.63,53.51,56.4
2023-04-15,BTC,53.46,53.98,52.63,53.81
2023-04-14,BTC,55.47,57.07,53.14,53.46
2023-04-13,BTC,55.87,56.77,55.03,55.47
2023-04-12,BTC,60.18,60.27,55.86,55.87
2023-04-11,BTC,62.16,63.03,60.12,60.18
2023-04-10,BTC,58.56,63.05,57.17,62.16
2023-04-09,BTC,55.26,58.81,54.87,58.56
2023-04-08,BTC,54.5,55.83,53.63,55.26
2023-04-07,BTC,57.06,57.06,54.25,54.5
2023-04-06,BTC,58.02,59.81,56.61,57.06
2023-04-05,BTC,59.65,60.56,57.93,58.02
2023-04-04,BTC,61.83,61.83,59.45,59.65
2023-04-03,BTC,60.28,62.44,58.38,61.83
2023-04-02,BTC,58.17,60.65,58.02,60.28
2023-04-01,BTC,58.52,58.53,57.35,58.17
2023-03-31,BTC,62.74,62.99,57.97,58.52
2023-03-30,BTC,64.49,66.82,62.34,62.74
2023-03-29,BTC,60.13,64.96,58.82,64.49
2023-03-28,BTC,62.12,63.42,59.73,60.13
2023-03-27,BTC,63.23,65.95,61.97,62.12
2023-03-26,BTC,61.59,63.35,61.48,63.23
2023-03-25,BTC,65.06,65.19,60.99,61.59
2023-03-24,BTC,66.43,67.76,64.5,65.06
2023-03-23,BTC,63.89,67.31,61.07,66.43
2023-03-22,BTC,68.92,70.11,63.29,63.89
2023-03-21,BTC,68.23,71.75,67.0,70.06
2023-03-20,BTC,73.34,73.83,68.08,68.23
2023-03-19,BTC,67.25,74.34,67.13,73.34
2023-03-18,BTC,66.59,68.88,64.07,67.25
2023-03-17,BTC,62.45,69.46,60.76,66.59
2023-03-16,BTC,64.15,64.15,56.98,62.45
2023-03-15,BTC,63.46,70.1,61.88,64.15
2023-03-14,BTC,62.24,68.19,59.71,63.46
2023-03-13,BTC,58.87,70.39,54.56,62.24
2023-03-12,BTC,59.82,62.61,57.09,58.87
2023-03-11,BTC,54.2,65.03,52.31,59.82
2023-03-10,BTC,54.39,59.38,53.44,54.2
2023-03-09,BTC,50.12,56.03,48.47,54.39
2023-03-08,BTC,51.46,52.56,49.62,50.12
2023-03-07,BTC,51.78,52.56,50.73,51.46
2023-03-06,BTC,50.84,52.55,50.4,51.78
2023-03-05,BTC,51.57,52.71,50.62,50.84
2023-03-04,BTC,52.2,52.35,50.4,51.57
2023-03-03,BTC,53.72,55.91,50.53,52.2
2023-03-02,BTC,54.71,55.36,53.19,53.72
2023-03-01,BTC,50.37,55.83,50.34,54.71
2023-02-28,BTC,50.44,50.62,49.16,50.37
2023-02-27,BTC,51.34,51.49,49.9,50.44
2023-02-26,BTC,50.29,52.2,49.98,51.34
2023-02-25,BTC,50.49,50.49,48.12,50.29
2023-02-24,BTC,54.93,54.97,50.45,50.49
2023-02-23,BTC,56.83,57.54,54.87,54.93
2023-02-22,BTC,59.47,60.16,56.69,56.83
2023-02-21,BTC,60.75,62.33,59.35,60.82
2023-02-20,BTC,59.93,62.16,59.37,60.75
2023-02-19,BTC,58.37,61.92,57.56,59.94
2023-02-18,BTC,60.77,60.78,58.35,58.37
2023-02-17,BTC,58.8,62.41,54.1,60.77
2023-02-16,BTC,52.67,59.55,51.15,58.8
2023-02-15,BTC,49.17,52.91,46.92,52.67
2023-02-14,BTC,50.65,51.16,47.87,49.17
2023-02-13,BTC,47.51,51.73,47.4,50.65
2023-02-12,BTC,47.13,48.09,46.76,47.5
2023-02-11,BTC,48.7,48.83,46.67,47.13
2023-02-10,BTC,51.95,52.02,48.4,48.69
2023-02-09,BTC,52.99,53.11,49.03,51.95
2023-02-08,BTC,53.31,53.94,52.52,52.99
2023-02-07,BTC,54.56,54.66,52.82,53.31
2023-02-06,BTC,55.23,55.73,53.33,54.56
2023-02-05,BTC,54.16,55.68,53.95,55.23
2023-02-04,BTC,54.25,54.55,53.18,54.16
2023-02-03,BTC,57.71,57.82,54.14,54.25
2023-02-02,BTC,58.04,58.32,55.11,57.71
2023-02-01,BTC,58.82,60.43,56.27,58.04
2023-01-31,BTC,56.4,59.21,54.76,58.82
2023-01-30,BTC,58.92,58.92,55.41,56.4
2023-01-29,BTC,54.49,60.05,52.01,58.92
2023-01-28,BTC,55.0,55.12,53.63,54.49
2023-01-27,BTC,57.0,57.69,54.98,55.0
2023-01-26,BTC,61.49,61.52,56.59,57.0
2023-01-25,BTC,65.73,65.85,58.02,61.49
2023-01-24,BTC,64.38,65.84,61.26,61.33
2023-01-23,BTC,61.99,66.6,61.26,64.38
2023-01-22,BTC,65.79,66.22,60.54,61.99
2023-01-21,BTC,59.48,67.64,56.73,65.79
2023-01-20,BTC,56.9,59.5,53.78,59.48
2023-01-19,BTC,63.34,63.37,56.23,56.9
2023-01-18,BTC,63.35,64.55,59.36,63.34
2023-01-17,BTC,64.92,66.37,62.93,63.35
2023-01-16,BTC,70.2,71.16,63.93,64.92
2023-01-15,BTC,73.62,74.15,66.16,70.2
2023-01-14,BTC,61.12,73.8,58.78,73.62
2023-01-13,BTC,51.42,61.12,47.08,61.12
2023-01-12,BTC,47.55,52.07,43.13,51.42
2023-01-11,BTC,45.47,47.55,45.2,47.55
2023-01-10,BTC,44.06,45.47,43.01,45.47
2023-01-09,BTC,42.79,45.03,42.79,44.06
2023-01-08,BTC,42.02,43.53,41.79,42.79
2023-01-07,BTC,43.61,43.62,41.53,42.02
2023-01-06,BTC,45.45,45.56,42.71,43.61
2023-01-05,BTC,46.87,47.48,45.41,45.45
2023-01-04,BTC,48.95,48.95,41.96,46.87
2023-01-03,BTC,50.02,50.44,48.79,48.95
2023-01-02,BTC,46.96,50.02,45.8,50.02
2023-01-01,BTC,48.31,48.43,46.7,46.96
2022-12-31,BTC,49.82,50.12,47.63,48.31
2022-12-30,BTC,54.59,54.95,48.5,49.82
2022-12-29,BTC,57.19,57.29,54.54,54.59
2022-12-28,BTC,54.05,57.33,53.53,57.19
2022-12-27,BTC,53.22,54.44,53.11,54.05
2022-12-26,BTC,53.68,53.97,53.0,53.22
2022-12-25,BTC,52.35,53.8,52.23,53.68
2022-12-24,BTC,53.67,53.91,52.2,52.35
2022-12-23,BTC,56.14,56.31,52.86,53.67
2022-12-22,BTC,59.12,59.18,53.48,56.14
2022-12-21,BTC,60.1,60.34,58.83,59.12
2022-12-20,BTC,63.61,65.81,59.36,60.1
2022-12-19,BTC,66.48,66.67,60.62,63.62
2022-12-18,BTC,62.29,67.84,61.06,66.48
2022-12-17,BTC,63.31,67.9,61.67,62.29
2022-12-16,BTC,57.74,64.86,52.81,63.31
2022-12-15,BTC,55.19,57.81,52.82,57.74
2022-12-14,BTC,60.67,60.76,55.08,55.19
2022-12-13,BTC,60.25,60.73,60.08,60.66
2022-12-12,BTC,61.79,62.4,60.35,61.15
2022-12-11,BTC,59.55,61.95,59.52,61.79
2022-12-10,BTC,58.71,59.62,58.39,59.55
2022-12-09,BTC,56.63,58.86,56.39,58.71
2022-12-08,BTC,57.05,57.24,55.45,55.71
2022-12-07,BTC,56.74,61.91,56.54,61.83
2022-12-06,BTC,56.01,59.36,55.25,56.74
2022-12-05,BTC,61.84,62.0,55.17,56.01
2022-12-04,BTC,61.15,62.02,58.27,61.84
2022-12-03,BTC,58.75,61.32,58.12,61.15
2022-12-02,BTC,60.05,64.18,58.57,58.75
2022-12-01,BTC,64.05,64.38,59.68,60.05
2022-11-30,BTC,64.8,65.38,62.62,64.05
2022-11-29,BTC,67.44,68.14,64.52,64.8
2022-11-28,BTC,67.12,70.39,66.46,67.44
2022-11-27,BTC,65.49,67.12,64.0,67.12
2022-11-26,BTC,64.89,65.83,62.97,65.49
2022-11-25,BTC,72.21,73.27,64.8,64.89
2022-11-24,BTC,75.27,76.05,72.09,72.21
2022-11-23,BTC,79.71,79.88,74.5,75.27
2022-11-22,BTC,80.81,83.39,79.09,79.71
2022-11-21,BTC,80.26,82.89,79.09,80.81
2022-11-20,BTC,72.41,81.11,72.41,80.26
2022-11-19,BTC,74.71,74.78,71.89,72.41
2022-11-18,BTC,76.97,77.03,72.35,74.71
2022-11-17,BTC,98.64,98.64,75.19,76.97
2022-11-16,BTC,89.99,103.25,81.08,98.64
2022-11-15,BTC,98.18,98.18,82.7,89.99
2022-11-14,BTC,107.88,112.14,89.9,98.18
2022-11-13,BTC,102.92,110.53,100.48,107.88
2022-11-12,BTC,102.11,110.48,101.2,102.92
2022-11-11,BTC,93.12,107.16,82.51,102.11
2022-11-10,BTC,114.72,115.37,85.05,93.12
2022-11-09,BTC,76.66,122.01,75.83,114.72
2022-11-08,BTC,59.48,94.83,59.31,76.66
2022-11-07,BTC,56.76,59.69,56.31,59.48
2022-11-06,BTC,55.9,56.76,54.29,56.76
2022-11-05,BTC,54.19,55.9,53.2,55.9
2022-11-04,BTC,53.98,57.08,53.26,54.19
2022-11-03,BTC,56.41,56.41,52.98,53.98
2022-11-02,BTC,59.92,60.63,56.41,56.41
2022-11-01,BTC,59.63,60.65,59.42,59.92
2022-10-31,BTC,60.36,62.59,59.1,59.63
2022-10-30,BTC,57.8,60.65,57.49,60.36
2022-10-29,BTC,55.08,58.11,55.06,57.8
2022-10-28,BTC,61.41,61.76,54.57,55.08
2022-10-27,BTC,66.28,66.29,60.35,61.41
2022-10-26,BTC,65.61,68.51,63.78,66.28
2022-10-25,BTC,64.31,67.64,63.48,65.61
2022-10-24,BTC,64.07,65.39,62.68,64.31
2022-10-23,BTC,62.14,64.95,61.8,64.07
2022-10-22,BTC,62.19,63.37,60.37,62.14
2022-10-21,BTC,61.44,63.02,59.37,62.19
2022-10-20,BTC,60.9,62.17,59.92,61.44
2022-10-19,BTC,62.26,62.49,60.02,60.9
2022-10-18,BTC,60.01,62.96,59.21,62.26
2022-10-17,BTC,63.27,63.68,59.46,60.01
2022-10-16,BTC,62.66,63.35,61.14,63.27
2022-10-15,BTC,62.41,63.01,61.75,62.66
2022-10-14,BTC,66.11,66.22,61.84,62.08
2022-10-13,BTC,70.2,75.28,65.99,66.11
2022-10-12,BTC,70.6,71.35,69.99,70.2
2022-10-11,BTC,68.98,72.46,68.94,70.6
2022-10-10,BTC,67.51,70.59,66.52,68.98
2022-10-09,BTC,64.24,68.05,63.98,67.51
2022-10-08,BTC,65.99,66.0,63.05,64.84
2022-10-07,BTC,68.73,70.02,65.99,65.99
2022-10-06,BTC,71.16,72.25,68.67,68.73
2022-10-05,BTC,69.87,71.75,69.8,71.16
2022-10-04,BTC,70.07,72.06,69.26,69.87
2022-10-03,BTC,76.42,76.42,70.06,70.07
2022-10-02,BTC,72.26,77.52,71.73,76.42
2022-10-01,BTC,74.06,74.07,70.16,72.26
2022-09-30,BTC,77.52,77.78,71.6,74.06
2022-09-29,BTC,79.4,81.89,77.01,77.52
2022-09-28,BTC,76.88,84.19,76.1,79.4
2022-09-27,BTC,76.71,79.19,71.29,76.88
2022-09-26,BTC,75.88,77.43,74.61,76.71
2022-09-25,BTC,73.21,76.29,71.82,75.88
2022-09-24,BTC,74.23,74.56,72.19,73.21
2022-09-23,BTC,74.81,78.28,73.73,74.23
2022-09-22,BTC,76.7,77.43,74.55,74.81
2022-09-21,BTC,75.86,78.59,72.77,76.7
2022-09-20,BTC,70.23,75.86,70.23,75.86
2022-09-19,BTC,74.86,74.86,70.23,70.23
2022-09-18,BTC,69.14,75.31,67.57,74.86
2022-09-17,BTC,70.57,70.69,68.71,69.14
2022-09-16,BTC,76.05,76.54,70.57,70.57
2022-09-15,BTC,78.19,79.61,75.28,76.05
2022-09-14,BTC,81.07,81.25,76.02,78.19
2022-09-13,BTC,79.15,83.44,78.25,81.07
2022-09-12,BTC,78.91,79.35,76.34,79.15
2022-09-11,BTC,78.15,78.99,75.1,78.91
2022-09-10,BTC,75.12,79.03,72.25,78.15
2022-09-09,BTC,75.72,77.73,72.02,75.12
2022-09-08,BTC,76.12,76.14,74.09,75.72
2022-09-07,BTC,81.46,84.32,75.62,76.12
2022-09-06,BTC,76.88,81.46,74.97,81.46
2022-09-05,BTC,76.01,76.91,74.89,76.88
2022-09-04,BTC,77.86,77.86,74.89,76.01
2022-09-03,BTC,74.66,78.74,73.43,77.86
2022-09-02,BTC,77.83,77.83,72.23,74.66
2022-09-01,BTC,75.04,79.91,74.45,77.83
2022-08-31,BTC,75.78,76.01,71.17,75.04
2022-08-30,BTC,73.2,77.69,71.62,75.78
2022-08-29,BTC,76.16,76.92,72.75,73.2
2022-08-28,BTC,73.03,76.19,72.46,76.17
2022-08-27,BTC,72.6,73.33,69.92,73.03
2022-08-26,BTC,73.83,75.64,70.61,72.6
2022-08-25,BTC,75.59,75.59,72.66,73.83
2022-08-24,BTC,77.78,78.37,73.91,75.59
2022-08-23,BTC,80.35,80.47,77.73,77.78
2022-08-22,BTC,79.02,80.97,78.42,80.35
2022-08-21,BTC,77.7,79.35,76.99,79.02
2022-08-20,BTC,81.24,81.57,76.97,77.7
2022-08-19,BTC,74.82,82.7,74.76,81.24
2022-08-18,BTC,74.09,75.05,73.44,74.82
2022-08-17,BTC,71.55,75.42,70.68,75.32
2022-08-16,BTC,70.2,71.61,69.76,71.55
2022-08-15,BTC,70.89,71.1,68.94,70.2
2022-08-14,BTC,70.6,73.14,69.94,70.89
2022-08-13,BTC,70.27,71.1,69.38,70.6
2022-08-12,BTC,71.48,71.62,69.71,70.27
2022-08-11,BTC,70.87,72.97,70.1,71.48
2022-08-10,BTC,74.67,75.85,70.87,70.87
2022-08-09,BTC,75.17,75.35,73.68,74.67
2022-08-08,BTC,73.6,76.12,72.82,75.17
2022-08-07,BTC,71.7,73.6,71.56,73.6
2022-08-06,BTC,71.85,72.98,71.34,71.7
2022-08-05,BTC,73.67,74.23,70.63,71.85
2022-08-04,BTC,75.87,75.87,72.98,73.67
2022-08-03,BTC,77.79,78.23,75.05,75.87
2022-08-02,BTC,77.69,78.66,76.59,77.79
2022-08-01,BTC,78.66,78.66,77.02,77.69
2022-07-31,BTC,78.55,79.01,76.68,78.66
2022-07-30,BTC,75.03,79.65,74.77,78.55
2022-07-29,BTC,76.89,77.69,73.34,75.03
2022-07-28,BTC,76.49,77.75,74.09,76.89
2022-07-27,BTC,81.39,81.95,74.84,76.49
2022-07-26,BTC,81.35,82.87,80.08,81.39
2022-07-25,BTC,83.17,83.98,79.81,81.35
2022-07-24,BTC,80.45,83.6,79.06,83.17
2022-07-23,BTC,84.28,84.44,80.31,80.45
2022-07-22,BTC,82.38,84.89,80.01,84.28
2022-07-21,BTC,83.99,85.37,82.37,82.38
2022-07-20,BTC,82.9,87.1,79.76,83.99
2022-07-19,BTC,83.38,84.5,81.15,82.9
2022-07-18,BTC,81.29,83.39,79.8,83.39
2022-07-17,BTC,81.99,83.41,80.68,81.29
2022-07-16,BTC,78.7,82.73,77.01,81.99
